,Price
0,3897.0
1,7662.0
2,13882.0
3,6218.0
4,13302.0
5,3873.0
6,11087.0
7,22270.0
8,11087.0
9,8625.0
10,8907.0
11,4174.0
12,4667.0
13,9663.0
14,4804.0
15,14011.0
16,5830.0
17,10262.0
18,13381.0
19,12898.0
20,19495.0
21,6955.0
22,3943.0
23,4823.0
24,7757.0
25,13292.0
26,8238.0
27,7682.0
28,4668.0
29,3687.0
30,3687.0
31,13227.0
32,4423.0
33,10919.0
34,12373.0
35,5894.0
36,4649.0
37,6245.0
38,19225.0
39,14924.0
40,9646.0
41,8714.0
42,12373.0
43,3383.0
44,13062.0
45,3527.0
46,3943.0
47,4667.0
48,6117.0
49,11150.0
50,7202.0
51,12121.0
52,4377.0
53,3943.0
54,4483.0
55,14231.0
56,17345.0
57,7414.0
58,8073.0
59,12395.0
60,8366.0
61,5117.0
62,12524.0
63,7191.0
64,3687.0
65,5894.0
66,5403.0
67,3625.0
68,10861.0
69,6297.0
70,5678.0
71,9134.0
72,10791.0
73,12819.0
74,6893.0
75,7240.0
76,3898.0
77,4049.0
78,10262.0
79,3332.0
80,10844.0
81,7229.0
82,13941.0
83,5894.0
84,10197.0
85,13712.0
86,5636.0
87,13014.0
88,7064.0
89,10703.0
90,9646.0
91,17057.0
92,13817.0
93,13748.0
94,4880.0
95,3540.0
96,3257.0
97,6478.0
98,8040.0
99,14300.0
100,14781.0
101,14939.0
102,10262.0
103,6528.0
104,6121.0
105,13029.0
106,11421.0
107,7574.0
108,11596.0
109,15129.0
110,13555.0
111,5780.0
112,9397.0
113,17024.0
114,5281.0
115,10348.0
116,12677.0
117,15147.0
118,4668.0
119,15554.0
120,3971.0
121,3100.0
122,9663.0
123,27430.0
124,3540.0
125,10676.0
126,13044.0
127,14388.0
128,3943.0
129,3597.0
130,5932.0
131,10262.0
132,6216.0
133,4804.0
134,14067.0
135,15129.0
136,13376.0
137,10441.0
138,4030.0
139,17024.0
140,13017.0
141,6686.0
142,5636.0
143,6442.0
144,9486.0
145,10844.0
146,15318.0
147,5117.0
148,6147.0
149,7005.0
150,3873.0
151,9270.0
152,3898.0
153,14781.0
154,8586.0
155,10697.0
156,14300.0
157,8855.0
158,10844.0
159,17024.0
160,9314.0
161,4777.0
162,7662.0
163,6442.0
164,5264.0
165,12898.0
166,6092.0
167,3311.0
168,6540.0
169,3419.0
170,5177.0
171,8246.0
172,14676.0
173,13587.0
174,9663.0
175,13044.0
176,5073.0
177,9345.0
178,9663.0
179,14277.0
180,10262.0
181,5678.0
182,13727.0
183,9663.0
184,3858.0
185,4812.0
186,5775.0
187,10539.0
188,4804.0
189,3383.0
190,8738.0
191,7165.0
192,6412.0
193,8016.0
194,11087.0
195,3543.0
196,12471.0
197,10262.0
198,4441.0
199,12537.0
200,10091.0
201,6961.0
202,5013.0
203,6934.0
204,10877.0
205,7229.0
206,7048.0
207,4878.0
208,10844.0
209,15129.0
210,3943.0
211,5583.0
212,9646.0
213,7677.0
214,6842.0
215,4995.0
216,9555.0
217,4077.0
218,7229.0
219,12192.0
220,5911.0
221,8372.0
222,4995.0
223,14323.0
224,13014.0
225,13591.0
226,18799.0
227,3943.0
228,1965.0
229,4995.0
230,14641.0
231,4460.0
232,10191.0
233,13843.0
234,6349.0
235,4409.0
236,17024.0
237,13727.0
238,8855.0
239,12524.0
240,13555.0
241,10844.0
242,13587.0
243,3543.0
244,4842.0
245,3943.0
246,10577.0
247,6979.0
248,11982.0
249,5264.0
250,8001.0
251,10651.0
252,10844.0
253,6601.0
254,6587.0
255,3173.0
256,5228.0
257,5769.0
258,14714.0
259,13014.0
260,3359.0
261,6722.0
262,4462.0
263,6171.0
264,12303.0
265,7695.0
266,5684.0
267,8366.0
268,19630.0
269,13502.0
270,14781.0
271,6513.0
272,9929.0
273,18275.0
274,4487.0
275,2754.0
276,2575.0
277,8224.0
278,8991.0
279,5000.0
280,8529.0
281,14042.0
282,4030.0
283,10844.0
284,4804.0
285,7308.0
286,4823.0
287,10262.0
288,12898.0
289,12778.0
290,14871.0
291,8708.0
292,10844.0
293,4129.0
294,4804.0
295,7229.0
296,7832.0
297,3859.0
298,9001.0
299,4878.0
300,2754.0
301,4668.0
302,5216.0
303,10368.0
304,8146.0
305,12242.0
306,9134.0
307,10939.0
308,11753.0
309,4174.0
310,10844.0
311,14714.0
312,9899.0
313,14871.0
314,7295.0
315,13465.0
316,3543.0
317,7198.0
318,10262.0
319,4148.0
320,8016.0
321,10262.0
322,3841.0
323,11507.0
324,14781.0
325,16079.0
326,12898.0
327,15353.0
328,7303.0
329,6197.0
330,8996.0
331,6528.0
332,4239.0
333,4148.0
334,3971.0
335,5192.0
336,9483.0
337,18804.0
338,5201.0
339,16079.0
340,7229.0
341,6795.0
342,10953.0
343,15965.0
344,9968.0
345,4804.0
346,16079.0
347,11507.0
348,11542.0
349,7229.0
350,4544.0
351,6496.0
352,4804.0
353,13439.0
354,6540.0
355,4591.0
356,4437.0
357,6151.0
358,7754.0
359,10262.0
360,8016.0
361,4781.0
362,4668.0
363,14594.0
364,14231.0
365,8425.0
366,9646.0
367,7295.0
368,5162.0
369,6860.0
370,6216.0
371,5192.0
372,4823.0
373,3919.0
374,2754.0
375,9315.0
376,11667.0
377,6224.0
378,13349.0
